checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_duration,percent_of_income,years_at_residence,age,other_credit,housing,existing_loans_count,job,dependents,phone,default
< 0 DM,6.0,critical,furniture/appliances,1169.0,unknown,> 7 years,4.0,4.0,67.0,none,own,2.0,skilled,1.0,yes,no
1 - 200 DM,48.0,good,furniture/appliances,5951.0,< 100 DM,1 - 4 years,2.0,2.0,22.0,none,own,1.0,skilled,1.0,no,yes
unknown,12.0,critical,education,2096.0,< 100 DM,4 - 7 years,2.0,3.0,49.0,none,own,1.0,unskilled,2.0,no,
< 0 DM,42.0,good,furniture/appliances,7882.0,< 100 DM,4 - 7 years,2.0,4.0,45.0,none,other,1.0,skilled,2.0,no,no
< 0 DM,24.0,poor,car,4870.0,< 100 DM,,3.0,4.0,,none,other,2.0,skilled,2.0,no,yes
unknown,36.0,good,education,9055.0,unknown,1 - 4 years,2.0,4.0,35.0,none,other,1.0,unskilled,2.0,yes,no
unknown,24.0,good,furniture/appliances,2835.0,,> 7 years,3.0,4.0,53.0,none,own,1.0,skilled,1.0,no,no
1 - 200 DM,36.0,good,car,6948.0,< 100 DM,1 - 4 years,2.0,2.0,35.0,none,rent,1.0,management,1.0,yes,no
unknown,12.0,,furniture/appliances,3059.0,> 1000 DM,4 - 7 years,2.0,4.0,61.0,none,own,1.0,unskilled,1.0,no,no
1 - 200 DM,,critical,car,5234.0,< 100 DM,unemployed,4.0,2.0,28.0,none,own,2.0,management,1.0,no,yes
1 - 200 DM,12.0,good,car,1295.0,< 100 DM,,3.0,1.0,25.0,none,,1.0,skilled,1.0,no,yes
< 0 DM,48.0,good,business,4308.0,< 100 DM,< 1 year,3.0,4.0,24.0,none,rent,1.0,skilled,1.0,no,yes
1 - 200 DM,12.0,good,furniture/appliances,1567.0,< 100 DM,1 - 4 years,1.0,1.0,22.0,none,own,1.0,skilled,1.0,yes,no
< 0 DM,24.0,critical,car,1199.0,< 100 DM,> 7 years,4.0,4.0,60.0,none,own,2.0,unskilled,1.0,no,yes
< 0 DM,15.0,good,car,1403.0,< 100 DM,1 - 4 years,2.0,4.0,28.0,none,rent,1.0,skilled,1.0,no,no
< 0 DM,24.0,good,furniture/appliances,1282.0,100 - 500 DM,1 - 4 years,4.0,2.0,32.0,none,own,1.0,unskilled,1.0,no,yes
unknown,24.0,critical,furniture/appliances,2424.0,unknown,> 7 years,4.0,4.0,53.0,none,own,2.0,skilled,1.0,no,no
< 0 DM,30.0,perfect,business,8072.0,unknown,< 1 year,2.0,3.0,25.0,bank,own,3.0,skilled,1.0,no,no
1 - 200 DM,24.0,good,car,12579.0,< 100 DM,> 7 years,4.0,2.0,44.0,none,other,1.0,management,1.0,yes,yes
unknown,24.0,good,furniture/appliances,3430.0,500 - 1000 DM,> 7 years,3.0,2.0,31.0,none,own,1.0,skilled,2.0,yes,no
unknown,9.0,critical,car,2134.0,< 100 DM,1 - 4 years,4.0,4.0,48.0,none,own,3.0,skilled,1.0,yes,no
< 0 DM,6.0,good,furniture/appliances,2647.0,500 - 1000 DM,1 - 4 years,2.0,,44.0,none,rent,1.0,skilled,2.0,no,no
< 0 DM,10.0,critical,car,2241.0,< 100 DM,< 1 year,1.0,3.0,48.0,none,,2.0,unskilled,2.0,no,no
1 - 200 DM,12.0,critical,car,1804.0,100 - 500 DM,< 1 year,3.0,4.0,44.0,none,own,1.0,skilled,1.0,no,no
unknown,10.0,critical,furniture/appliances,2069.0,unknown,1 - 4 years,2.0,1.0,26.0,none,own,2.0,skilled,1.0,no,no
< 0 DM,6.0,good,furniture/appliances,,< 100 DM,1 - 4 years,1.0,2.0,36.0,bank,own,1.0,unskilled,1.0,yes,no
unknown,6.0,,furniture/appliances,426.0,< 100 DM,> 7 years,4.0,4.0,39.0,none,own,1.0,unskilled,1.0,no,no
> 200 DM,12.0,very good,furniture/appliances,409.0,> 1000 DM,1 - 4 years,3.0,3.0,42.0,none,rent,2.0,skilled,1.0,no,
1 - 200 DM,7.0,good,furniture/appliances,2415.0,< 100 DM,1 - 4 years,3.0,2.0,34.0,none,own,1.0,skilled,1.0,no,no
< 0 DM,60.0,poor,business,6836.0,< 100 DM,> 7 years,3.0,4.0,63.0,none,,2.0,skilled,1.0,yes,yes
1 - 200 DM,18.0,good,business,1913.0,> 1000 DM,< 1 year,3.0,3.0,36.0,bank,own,1.0,skilled,1.0,yes,no
< 0 DM,24.0,good,furniture/appliances,4020.0,< 100 DM,1 - 4 years,2.0,2.0,27.0,store,own,1.0,skilled,1.0,no,no
